Waf: Entering directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
[2603/2653] Compiling scratch/vanet3-p2p.cc
[2612/2653] Linking build/scratch/vanet3-p2p
Waf: Leaving directory `/home/fk/ns-3.29/bake/source/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (8.231s)
n
n
n
n
n
n
n
n
n
n
n
Promiscuous, NodeId, 2, , from, 02-06-00:00:00:00:00:05, uid, 40, RXtime, +114823972.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:14, uid, 44, RXtime, +160189534.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:14, uid, 44, RXtime, +160189684.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:14, uid, 44, RXtime, +160189685.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:14, uid, 44, RXtime, +160189851.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000291.0ns,
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000441.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000441.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000442.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000442.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000608.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:16, uid, 48, RXtime, +164000608.0ns,
Promiscuous, NodeId, 29, , from, 02-06-00:00:00:00:00:19, uid, 52, RXtime, +187318781.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:19, uid, 52, RXtime, +187318931.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:19, uid, 52, RXtime, +187318932.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:19, uid, 52, RXtime, +187319098.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:19, uid, 52, RXtime, +187319098.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731043.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731193.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731193.0ns,
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731194.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731194.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731360.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:1b, uid, 56, RXtime, +214731360.0ns,
Promiscuous, NodeId, 8, , from, 02-06-00:00:00:00:00:08, uid, 60, RXtime, +280375426.0ns,
Promiscuous, NodeId, 6, , from, 02-06-00:00:00:00:00:08, uid, 60, RXtime, +280375463.0ns,
Promiscuous, NodeId, 5, , from, 02-06-00:00:00:00:00:08, uid, 60, RXtime, +280375535.0ns,
Promiscuous, NodeId, 9, , from, 02-06-00:00:00:00:00:08, uid, 60, RXtime, +280375632.0ns,
Promiscuous, NodeId, 2, , from, 02-06-00:00:00:00:00:04, uid, 64, RXtime, +302980038.0ns,
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:04, uid, 64, RXtime, +302980130.0ns,
Promiscuous, NodeId, 1, , from, 02-06-00:00:00:00:00:04, uid, 64, RXtime, +302980269.0ns,
Promiscuous, NodeId, 5, , from, 02-06-00:00:00:00:00:04, uid, 64, RXtime, +302980286.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644367.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644517.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644517.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644518.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644518.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644684.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644684.0ns,
Promiscuous, NodeId, 15, , from, 02-06-00:00:00:00:00:0d, uid, 68, RXtime, +321644684.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:15, uid, 72, RXtime, +322057611.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:15, uid, 72, RXtime, +322057761.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:15, uid, 72, RXtime, +322057762.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:15, uid, 72, RXtime, +322057928.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:15, uid, 72, RXtime, +322057928.0ns,
Promiscuous, NodeId, 7, , from, 02-06-00:00:00:00:00:09, uid, 76, RXtime, +364116635.0ns,
Promiscuous, NodeId, 9, , from, 02-06-00:00:00:00:00:09, uid, 76, RXtime, +364116705.0ns,
Promiscuous, NodeId, 6, , from, 02-06-00:00:00:00:00:09, uid, 76, RXtime, +364116808.0ns,
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:1a, uid, 80, RXtime, +364500910.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:1a, uid, 80, RXtime, +364501060.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:1a, uid, 80, RXtime, +364501061.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:1a, uid, 80, RXtime, +364501227.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:1a, uid, 80, RXtime, +364501227.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374622746.0ns,
Promiscuous, NodeId, 16, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374622896.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374622896.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374622897.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374622897.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374623063.0ns,
Promiscuous, NodeId, 14, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374623063.0ns,
Promiscuous, NodeId, 15, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374623063.0ns,
Promiscuous, NodeId, 19, , from, 02-06-00:00:00:00:00:12, uid, 84, RXtime, +374623063.0ns,
Promiscuous, NodeId, 11, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375732935.0ns,
Promiscuous, NodeId, 15, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733085.0ns,
Promiscuous, NodeId, 17, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733085.0ns,
Promiscuous, NodeId, 10, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733086.0ns,
Promiscuous, NodeId, 12, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733086.0ns,
Promiscuous, NodeId, 13, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733252.0ns,
Promiscuous, NodeId, 18, , from, 02-06-00:00:00:00:00:11, uid, 88, RXtime, +375733252.0ns,
Promiscuous, NodeId, 6, , from, 02-06-00:00:00:00:00:06, uid, 92, RXtime, +411174500.0ns,
Promiscuous, NodeId, 4, , from, 02-06-00:00:00:00:00:06, uid, 92, RXtime, +411174582.0ns,
Promiscuous, NodeId, 7, , from, 02-06-00:00:00:00:00:06, uid, 92, RXtime, +411174671.0ns,
Promiscuous, NodeId, 3, , from, 02-06-00:00:00:00:00:06, uid, 92, RXtime, +411174748.0ns,
Promiscuous, NodeId, 8, , from, 02-06-00:00:00:00:00:0a, uid, 96, RXtime, +416751022.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426227932.0ns,
Promiscuous, NodeId, 22, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228082.0ns,
Promiscuous, NodeId, 24, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228082.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228083.0ns,
Promiscuous, NodeId, 29, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228083.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228249.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:18, uid, 100, RXtime, +426228249.0ns,
Promiscuous, NodeId, 27, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648410.0ns,
Promiscuous, NodeId, 21, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648560.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648560.0ns,
Promiscuous, NodeId, 26, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648561.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648561.0ns,
Promiscuous, NodeId, 20, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648727.0ns,
Promiscuous, NodeId, 24, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648727.0ns,
Promiscuous, NodeId, 25, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648727.0ns,
Promiscuous, NodeId, 29, , from, 02-06-00:00:00:00:00:17, uid, 104, RXtime, +454648727.0ns,
Promiscuous, NodeId, 24, , from, 02-06-00:00:00:00:00:1e, uid, 108, RXtime, +457581301.0ns,
Promiscuous, NodeId, 28, , from, 02-06-00:00:00:00:00:1e, uid, 108, RXtime, +457581451.0ns,
Promiscuous, NodeId, 23, , from, 02-06-00:00:00:00:00:1e, uid, 108, RXtime, +457581452.0ns,
